id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0YammaEkYSeo9vQYZ1OwS6,Say My Name,75,198947,0,"['David Guetta', 'Bebe Rexha', 'J Balvin']","['1Cs0zKBU1kc0i8ypK3B9ai', '64M6ah0SkkRsnPGtGiRAbb', '1vyhD5VmyZ7KMfW5gqLgo5']",9/14/2018,0.703,0.66,10,-5.119,0,0.123,0.137,0,0.192,0.79,95.031,4
0prNGof3XqfTvNDxHonvdK,Scars To Your Beautiful,75,230227,0,['Alessia Cara'],['2wUjUUtkb5lvLKcGKsKqsR'],11/13/2015,0.573,0.739,0,-5.74,1,0.129,0.0285,0,0.111,0.451,97.085,4
5W83ErFkO3aKAIS1WMi6u0,Secreto,75,258800,0,"['Anuel AA', 'KAROL G']","['2R21vXR83lH98kGeO99Y66', '790FomKkXshlbRYZFtlgla']",1/15/2019,0.807,0.803,11,-4.156,1,0.126,0.602,0.00853,0.136,0.706,91.987,4
5GUYJTQap5F3RDQiCOJhrS,Self Control,75,249668,0,['Frank Ocean'],['2h93pZq0e7k5yf4dywlkpM'],8/20/2016,0.572,0.209,8,-10.413,1,0.0313,0.765,0,0.356,0.446,80.069,4
10n66m41IGjA2ZulKPK7Ew,Seni Dert Etmeler,75,188500,0,['Madrigal'],['2aZlYOswKNlrwqpuTsckKd'],3/27/2020,0.552,0.608,5,-11.211,0,0.0274,0.148,2.05E-05,0.332,0.835,88.002,4
03a359wbiUsjN9h6yzXvmS,She Don't Give a Fo,75,209531,0,"['Duki', 'KHEA']","['1bAftSH8umNcGZ0uyV7LMg', '4m6ubhNsdwF4psNf3R8kwR']",3/12/2018,0.854,0.556,1,-4.49,1,0.14,0.345,0,0.165,0.342,119.938,4
01TyFEZu6mHbffsVfxgrFn,Show Me How,75,215111,0,['Men I Trust'],['3zmfs9cQwzJl575W1ZYXeT'],2/28/2018,0.791,0.267,5,-11.997,1,0.0415,0.674,0.534,0.102,0.544,165.99,4
50WeOnXhM1H7AZEeIDoWfZ,Show Yourself,75,260907,0,"['Idina Menzel', 'Evan Rachel Wood']","['73Np75Wv2tju61Eo9Zw4IR', '3MyB0MyKec3Jq0AH2llk7v']",11/15/2019,0.321,0.429,6,-7.073,1,0.0302,0.724,9.10E-05,0.0606,0.174,123.419,4
3p6eieHX6oEOzJStPtEsLu,Si Te Pudiera Mentir,75,255640,0,['Calibre 50'],['4jogXSSvlyMkODGSZ2wc2P'],8/16/2019,0.764,0.585,2,-7.796,1,0.0305,0.348,0.00294,0.369,0.89,90.013,4
1pKeFVVUOPjFsOABub0OaV,Side To Side,75,226160,1,"['Ariana Grande', 'Nicki Minaj']","['66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh']",5/20/2016,0.65,0.736,6,-5.84,0,0.229,0.0528,0,0.235,0.613,159.173,4
